"","year","partner","esi"
"1",2017,"Australia",17.7012920821177
"2",2018,"Australia",15.982277258019
"3",2019,"Australia",14.6044377459585
"4",2020,"Australia",15.2730656166346
"5",2021,"Australia",13.5733312109313
"6",2022,"Australia",11.5589089081794
"7",2023,"Australia",12.8454011049137
"8",2024,"Australia",14.3640476437629
"9",2017,"Korea, Rep.",35.195767503935
"10",2018,"Korea, Rep.",37.1905828069052
"11",2019,"Korea, Rep.",38.0534691553464
"12",2020,"Korea, Rep.",35.8699721459637
"13",2021,"Korea, Rep.",36.8017399103234
"14",2022,"Korea, Rep.",38.6267715042444
"15",2023,"Korea, Rep.",40.2053921292174
"16",2024,"Korea, Rep.",39.3105863033374
"17",2017,"New Zealand",14.9401388292305
"18",2018,"New Zealand",14.1091666955624
"19",2019,"New Zealand",13.5790431090747
"20",2020,"New Zealand",13.9778087839269
"21",2021,"New Zealand",13.5596588701953
"22",2022,"New Zealand",12.9390769283843
"23",2023,"New Zealand",13.374048084146
"24",2024,"New Zealand",13.7631537371372
"25",2017,"Oman",15.4407933965123
"26",2018,"Oman",18.1414784012973
"27",2019,"Oman",17.3276823047689
"28",2020,"Oman",21.7683651524925
"29",2021,"Oman",23.0359555015909
"30",2022,"Oman",19.7440174165204
"31",2023,"Oman",23.1760641869536
"32",2018,"United Arab Emirates",26.6626189164084
"33",2019,"United Arab Emirates",22.118920806215
"34",2020,"United Arab Emirates",19.7154959994655
"35",2021,"United Arab Emirates",25.3036183532872
"36",2022,"United Arab Emirates",30.4216595709378
"37",2023,"United Arab Emirates",28.578120295804
"38",2017,"United Kingdom",38.7019536009194
"39",2018,"United Kingdom",38.4740705224374
"40",2019,"United Kingdom",39.7488596307427
"41",2020,"United Kingdom",41.3124527128039
"42",2021,"United Kingdom",36.289304056497
"43",2022,"United Kingdom",36.4450767553469
"44",2023,"United Kingdom",37.2168714529136
"45",2024,"United Kingdom",37.917852166391
